Start of Queue 0
msgid  table entry func addr.  symbol
 0x03  0x000079C8  0x00000000  No Handler / Reserved
 0x04  0x000079D0  0x0001B3F4  FUN_0001b3f4
 0x05  0x000079D8  0x0002548C  FUN_0002548c
 0x06  0x000079E0  0x0001E6B0  FUN_0001e6b0
 0x07  0x000079E8  0x0001E720  FUN_0001e720
 0x08  0x000079F0  0x0001E7C0  FUN_0001e7c0
 0x09  0x000079F8  0x0001C3B0  FUN_0001c3b0
 0x0A  0x00007A00  0x0001E7D8  FUN_0001e7d8
 0x0B  0x00007A08  0x0002A938  FUN_0002a938
 0x0C  0x00007A10  0x0002E428  FUN_0002e428
 0x0D  0x00007A18  0x0001E650  FUN_0001e650
 0x0E  0x00007A20  0x0001F218  FUN_0001f218
 0x0F  0x00007A28  0x0001F2F0  FUN_0001f2f0
 0x10  0x00007A30  0x000300B4  FUN_000300b4
 0x11  0x00007A38  0x0002F6C4  FUN_0002f6c4
 0x12  0x00007A40  0x00000000  No Handler / Reserved
 0x13  0x00007A48  0x00000000  No Handler / Reserved
 0x14  0x00007A50  0x0002A968  FUN_0002a968
 0x15  0x00007A58  0x00000000  No Handler / Reserved
Start of Queue 5
msgid  table entry func addr.  symbol
 0x01  0x00007A60  0x0001B3A8  PPSMC_MSG_TestMessage
 0x02  0x00007A68  0x0001B3C0  PPSMC_MSG_GetSmuVersion
 0x03  0x00007A70  0x00000000  No Handler / Reserved
 0x04  0x00007A78  0x00000000  No Handler / Reserved
Start of Queue 6
msgid  table entry func addr.  symbol
 0x01  0x00007A80  0x00000000  No Handler / Reserved
 0x02  0x00007A88  0x00000000  No Handler / Reserved
 0x03  0x00007A90  0x00000000  No Handler / Reserved
